ppg1,ppg2,ppg3
130059,307027,439581
129795,306224,438990
129311,304805,438285
128996,304148,437801
128876,304075,437834
128994,304370,437969
129089,304585,438106
129192,304724,438192
129278,305005,438368
129438,305342,438470
129637,305770,438822
129761,306078,438993
129870,306251,439075
129820,306261,439055
129812,305999,439053
129776,306079,438839
129770,306030,438857
129828,305987,438898
129849,306036,438981
129924,306350,438919
129978,306437,439225
129990,306522,439158
130055,306682,439186
130080,306813,439271
130081,306782,439350
130094,306926,439340
130090,307059,439347
130090,307201,439559
130137,307369,439505
130172,307300,439489
130106,307035,439296
129942,306184,438738
129500,305151,437880
129300,304628,437641
129286,304596,437820
129405,304852,437801
129513,305000,437952
129549,305185,437889
129669,305343,438001
129803,305513,438260
129961,305926,438349
130080,306037,438639
130086,305977,438468
130046,305724,438325
129916,305361,437921
129701,304761,437804
129539,304516,437762
129489,304395,437526
129446,304295,437491
129421,304233,437541
129404,304231,437171
129443,304213,437403
129571,304430,437430
129706,304591,437678
129838,304782,437726
130006,305093,437877
130136,305190,438083
130168,305386,438174
130214,305418,438154
130159,305169,438033
129760,304232,437094
128660,302158,435825
126882,299650,434360
125762,297949,433273
125001,296857,432699
124704,296559,432459
124451,296346,432513
124225,296274,432406
124004,296153,432446
123897,296274,432465
123878,296502,432641
123961,296755,432916
123951,296758,432872
123908,296635,432790
123825,296525,432533
123739,296449,432779
123746,296667,432755
123812,296695,432908
123861,297110,433117
123986,297206,433240
124124,297458,433322
124253,297919,433534
124344,297876,433706
124461,298159,433802
124534,298541,433968
124742,298630,434214
125006,299078,434443
125199,299594,434742
125447,299958,434966
125628,300300,435248
125488,299794,435110
124798,298271,433919
123953,296733,432791
123369,295982,432176
123042,295743,432058
122928,295808,432245
123026,296119,432521
123158,296537,432827
123317,296891,432951
123557,297242,433379
123992,298088,433671
124363,298712,433996
124602,299113,434436
124744,299198,434547
124714,299163,434318
124704,299059,434394
124702,299117,434298
124930,299381,434488
125155,299670,434645
125423,300115,434969
125648,300506,435209
125919,300940,435474
126148,301241,435692
126297,301383,435783
126471,301520,435807
126589,301883,435866
126764,302071,436122
126953,302445,436335
127136,302594,436523
127327,302990,436701
127521,303150,436798
127427,302886,436603
126890,301739,435793
126042,300352,435048
125736,299944,434735
125872,300066,434876
126194,300674,435162
126536,301086,435353
126860,301510,435583
127113,301939,435971
127431,302326,436104
127750,302801,436527
127914,303248,436803
127990,303282,436792
127963,303137,436604
127941,302959,436523
127913,302947,436415
127940,303029,436447
128036,303012,436540
128169,303265,436546
128279,303325,436664
128367,303572,436672
128476,303688,437009
128505,303730,437022
128578,303997,436894
128637,304086,437130
128767,304202,437232
128815,304328,437314
128831,304435,437205
128875,304584,437391
128928,304550,437264
128848,304381,437116
128486,303260,436347
127745,301784,435527
127003,300746,434816
126806,300478,434881
126954,300748,434889
127194,301138,435087
127521,301555,435346
127747,301973,435707
128042,302333,435801
128371,302832,436121
128603,303339,436364
128727,303564,436660
128771,303688,436519
128765,303444,436566
128696,303394,436417
128775,303573,436424
128864,303599,436479
128947,303775,436724
129055,304029,436891
129214,304246,436905
129312,304618,437084
129446,304673,437122
129457,304905,437159
129504,304809,437354
129525,304900,437336
129615,305010,437448
129663,305027,437358
129656,305023,437306
129718,305231,437562
129766,305231,437505
129623,304771,437207
129068,303232,436152
128333,301944,435240
127796,301265,434880
127726,301143,434765
127932,301541,435091
128248,301972,435303
128489,302228,435476
128618,302379,435617
128755,302577,435725
128990,303068,435955
129222,303542,436299
129297,303780,436327
129319,303690,436415
129297,303562,436196
129204,303424,436104
129232,303388,436260
129269,303506,436282
129359,303670,436317
129498,303925,436599
129593,304086,436575
129666,304309,436727
129742,304406,436766
129788,304535,436948
129823,304473,436700
129903,304691,437026
129926,304767,437020
129992,304992,437067
