ppg1,ppg2,ppg3
130258,308556,432600
130276,308608,432568
130212,308240,432329
129769,306910,431484
128969,305686,430438
128394,305055,430169
128265,305018,430178
128503,305338,430315
128865,305828,430740
129167,306091,430748
129343,306290,430870
129496,306550,431075
129673,306762,431186
129896,307211,431596
129986,307402,431598
130033,307390,431658
129987,307218,431599
129970,307144,431488
129992,307135,431432
130032,307132,431575
130067,307288,431509
130225,307444,431608
130267,307658,431797
130365,307675,431903
130398,307848,431908
130477,307987,431788
130501,307881,431847
130556,308082,431848
130620,308128,432013
130666,308297,432074
130683,308352,432057
130752,308418,431983
130506,307642,431415
129819,306144,430287
129070,305030,429744
128657,304655,429563
128764,304806,429523
129024,305122,429802
129333,305524,430079
129548,305808,430276
129734,305963,430270
129935,306347,430549
130175,306550,430803
130299,306808,430724
130387,307040,430897
130394,306936,430810
130354,306697,430971
130371,306715,430646
130373,306666,430709
130429,306827,430772
130528,306836,431002
130606,307026,430909
130649,307124,431082
130703,307318,431023
130778,307245,431115
130810,307385,431302
130835,307435,431173
130940,307607,431276
130951,307572,431372
131000,307710,431375
131070,307830,431257
131072,307785,431318
130841,307054,430907
130076,305516,429884
129165,304413,428949
128737,303929,428543
128781,304081,428663
129084,304399,429154
129375,304886,429358
129597,305072,429558
129782,305179,429629
130015,305523,429800
130308,305819,429980
130513,306179,430120
130562,306331,430278
130567,306191,430413
130523,306164,430163
130533,306055,430092
130592,306058,430141
130663,306331,430151
130744,306367,430171
130881,306423,430229
130957,306530,430368
130973,306764,430369
131056,306841,430616
131105,306939,430665
131154,306903,430589
131219,307057,430631
131253,307226,430696
131282,307199,430704
131353,307219,430712
131394,307483,430756
131395,307324,430744
131219,306697,430226
130442,305202,429245
129459,303923,428298
128956,303361,428017
128951,303433,428207
129214,303857,428359
129521,304170,428532
129767,304457,428833
129960,304668,429030
130165,304847,429067
130479,305400,429230
130774,305730,429621
130848,305770,429720
130837,305662,429573
130832,305656,429418
130821,305608,429575
130835,305657,429446
130939,305710,429503
131044,305774,429575
131150,306080,429632
131198,306108,429740
131319,306352,429875
131419,306500,429998
131456,306541,430034
131516,306834,430160
131559,306816,430164
131601,306899,430279
131678,306996,430049
131734,307151,430387
131769,307278,430356
131844,307377,430464
131891,307347,430441
131760,306887,430097
131232,305519,429198
130250,304089,428205
129522,303389,427734
129483,303513,427767
129729,303863,427977
130091,304258,428183
130388,304542,428534
130596,304708,428503
130826,305028,428738
131040,305335,429044
131270,305650,429296
131357,305956,429212
131393,305958,429300
131371,305778,429158
131342,305734,429055
131374,305661,429113
131430,305792,429138
131544,305956,429267
131600,306039,429370
131662,306062,429354
131742,306291,429433
131813,306415,429472
131872,306623,429626
131904,306716,429712
131938,306765,429780
131970,306812,429834
132048,306927,429810
132109,306993,429887
132160,307187,429950
132183,307212,430002
132200,307225,429925
132160,307122,429937
131900,306196,429164
131012,304476,428072
130122,303528,427420
129839,303275,427108
129946,303497,427394
130320,303944,427801
130648,304271,427955
130886,304600,428058
131073,304850,428282
131272,305123,428326
131480,305262,428595
131658,305652,428725
131690,305674,428936
131625,305500,428783
131483,305188,428574
131431,305140,428574
131497,305269,428571
131635,305440,428862
131776,305516,428856
131876,305759,428914
131962,306003,429012
132020,306208,429042
132056,306243,429063
132113,306267,429164
132157,306346,429217
132244,306436,429309
132275,306487,429202
132284,306606,429338
132388,306748,429428
132405,306897,429510
132428,306792,429472
132242,306315,429038
131604,304886,428009
130646,303483,427046
130059,302825,426830
129986,302858,426881
130247,303371,427020
130611,303716,427539
130864,303961,427625
131078,304128,427763
131271,304393,427771
131542,304813,428088
131824,305222,428386
131926,305386,428396
131938,305396,428404
131911,305206,428277
131890,305090,428191
131896,305151,428284
131965,305299,428348
132054,305469,428465
132108,305527,428382
132210,305643,428526
132287,305756,428617
132327,305941,428771
132409,306050,428828
132473,306152,428951
132511,306237,428875
132546,306223,428893
132567,306361,428966
132642,306431,429124
132672,306578,429004
132724,306656,429250
132730,306717,429124
132592,306136,428719
131876,304705,427644
130837,303203,426658
130196,302489,426237
130122,302540,426254
130345,302844,426534
130656,303364,426935
130944,303581,426946
131184,303886,427250
131369,304117,427279
131666,304290,427536
131926,304797,427758
132149,305232,428036
132185,305053,427946
132143,305058,428001
132097,304838,427744
132122,304900,427797
132165,304942,427683
132254,305153,427895
132376,305207,427981
132493,305416,428145
132513,305562,428194
132584,305649,428395
132685,305799,428394
132701,305946,428402
132803,306051,428545
132821,306075,428555
132901,306170,428587
132904,306327,428707
132954,306376,428719
132993,306525,428870
133024,306540,428820
133079,306587,428817
133034,306697,428762
132753,305699,428093
131840,303856,426937
130932,302730,426069
130600,302488,425865
130747,302910,426234
131065,303135,426403
131349,303584,426663
131583,303693,426785
131710,303868,426903
131890,304120,427032
132149,304451,427192
132387,304638,427552
132503,304945,427599
132525,305007,427531
132495,304760,427500
132453,304694,427489
132521,304824,427482
132575,304936,427594
132660,305080,427676
132748,305217,427668
132839,305366,427669
132921,305404,427869
132950,305598,427911
133080,305733,428144
133059,305797,428002
133148,305954,428250
133210,306023,428198
133209,306209,428251
133269,306161,428167
133363,306354,428381
133339,306266,428398
133386,306364,428385
133425,306642,428544
133505,306532,428479
133417,306321,428273
132960,304989,427270
132074,303562,426243
131262,302738,425775
131084,302523,425605
131324,302970,425935
131684,303310,426214
131946,303627,426533
132162,303857,426468
132285,304060,426568
132521,304278,426814
132724,304605,427024
132887,304801,427269
132980,304931,427305
132950,304968,427225
132884,304692,427008
132905,304829,427068
132968,304856,427104
133028,304885,427260
133136,305162,427220
133195,305194,427328
133241,305428,427553
133344,305472,427534
133406,305657,427664
133461,305681,427524
133525,305802,427772
133538,305912,427682
133574,306014,427861
133621,306057,427737
133669,306022,427836
133687,306139,428020
133745,306212,427957
133773,306243,427993
133809,306371,428041
133844,306400,428086
133811,306200,427843
133403,305021,426956
132475,303468,425823
131783,302655,425220
131537,302518,425246
131792,302911,425445
132181,303285,425864
132466,303610,425934
132620,303664,426153
132760,304038,426308
132940,304195,426372
133157,304421,426513
133299,304801,426756
133320,304893,426814
133351,304764,426630
133311,304777,426639
133320,304701,426603
133338,304720,426654
133397,304845,426774
133513,304994,426901
133568,305118,426968
133672,305331,427207
133771,305445,427157
133793,305632,427255
133851,305655,427252
133911,305795,427329
133954,305922,427412
133980,305918,427569
134024,305904,427516
134051,306099,427425
134085,306157,427546
134120,306164,427752
134167,306265,427677
134196,306217,427653
134031,305760,427199
133483,304250,426172
132647,303179,425241
132086,302493,424830
132011,302500,424992
132252,302864,425282
132613,303306,425422
132824,303550,425603
132942,303705,425714
133127,303826,425825
133346,304213,426238
133544,304558,426471
133662,304823,426551
133712,304705,426465
133648,304652,426542
133605,304531,426355
133596,304378,426287
133612,304402,426371
133680,304671,426480
133823,304787,426481
133930,305068,426644
133966,305184,426936
134042,305386,426967
134163,305583,427081
134214,305557,427170
134253,305794,427135
134313,305740,427260
134332,305817,427243
134357,305986,427239
134433,305989,427422
134466,306168,427365
134472,306261,427455
134522,306327,427332
134601,306423,427538
134573,306332,427442
134311,305280,426619
133493,303746,425439
132738,302693,424664
132405,302460,424699
132523,302687,424755
132811,303045,425035
133086,303381,425334
133249,303439,425349
133346,303615,425568
133477,303697,425721
133718,304090,425782
133900,304465,425967
134026,304711,426156
134031,304639,426310
134035,304457,426104
134022,304541,426049
134035,304575,426102
134110,304724,426094
134176,304726,426104
134249,304918,426359
134356,305140,426518
134433,305302,426548
134488,305336,426725
134552,305419,426608
134592,305623,426782
134655,305780,426853
134711,305791,426837
134678,305899,426990
134730,306031,427018
134787,306030,426946
134809,306124,426841
134849,306223,426988
134874,306270,427072
134970,306301,427263
134935,306318,427226
134853,305762,426766
134350,304474,425775
133496,303004,424891
132999,302490,424315
132930,302545,424347
133198,302948,424655
133478,303296,424998
133612,303442,425158
133706,303527,425174
133836,303687,425116
134052,303943,425442
134244,304261,425605
134377,304553,425773
134424,304653,426021
134445,304592,425930
134370,304707,425809
134405,304548,425734
134434,304549,425867
134504,304505,425879
134613,304813,425974
134659,304903,426071
134719,305089,426012
134752,305101,426320
134822,305276,426329
134905,305486,426570
134927,305569,426362
134985,305615,426446
135012,305732,426567
135065,305814,426663
135082,305894,426583
135118,305906,426769
135169,306125,426733
135207,306136,426789
135234,306130,426858
135281,306378,426876
135277,306386,426949
135291,306060,426932
134998,305192,426072
134288,303683,424902
133548,302585,424249
133332,302393,424095
133468,302762,424355
133751,303034,424544
133931,303249,424682
134049,303385,424848
134158,303569,424901
134340,303704,425239
134539,304101,425291
134703,304487,425589
134773,304583,425525
134754,304548,425511
134752,304409,425509
134755,304458,425456
134752,304307,425307
134817,304489,425484
134904,304675,425756
134995,304749,425617
135056,304867,425805
135129,305032,425955
135168,305139,426036
135257,305354,426113
135239,305449,426173
135321,305398,426098
135353,305480,426145
135359,305561,426301
135381,305697,426350
135438,305609,426323
135462,305710,426292
135528,305774,426234
135564,305794,426421
135592,305921,426579
135617,305944,426592
135605,306122,426537
135485,305504,426013
134982,304057,424955
134199,302901,424131
133825,302468,423938
133842,302587,423895
134104,303011,424205
134379,303252,424569
134537,303404,424530
134626,303594,424650
134739,303755,424689
134858,304035,424929
135105,304331,425267
135207,304594,425443
135200,304595,425486
135196,304519,425415
135150,304412,425343
135126,304370,425200
135166,304572,425283
135271,304572,425300
135348,304836,425532
135468,304978,425624
135527,305137,425497
135572,305286,425786
135617,305489,425657
135629,305547,425903
135683,305627,425933
135738,305573,426086
135756,305712,426082
135784,305638,426167
135851,305866,426106
135840,305987,426194
135897,305945,426240
135971,305969,426185
135983,306065,426451
135990,306250,426300
136058,306263,426356
135996,306014,426264
135680,304996,425548
135025,303527,424436
134472,302720,423824
134237,302619,423600
134378,302758,423878
134654,303161,424150
134871,303369,424301
134902,303477,424337
134993,303484,424439
135111,303655,424655
135284,304023,424836
135445,304436,425042
135573,304520,425124
135622,304543,424967
135503,304421,424912
135452,304260,425140
135487,304307,424977
135583,304433,425001
135639,304623,425103
135724,304833,425158
135774,304784,425267
135793,304929,425379
135890,304995,425436
135923,305145,425584
135967,305300,425609
136001,305312,425608
136011,305400,425687
136035,305566,425869
136093,305532,425685
136083,305669,425730
136151,305655,425817
136135,305702,425832
136190,305847,425903
136211,305823,426079
136220,305844,425932
136118,305247,425531
135578,303955,424695
134869,302842,423594
134400,302286,423253
134400,302406,423432
134656,302790,423762
134933,303154,424009
135081,303196,423945
135172,303359,424197
135237,303513,424152
135426,303764,424437
135592,304145,424861
135705,304276,424825
135747,304299,424854
135682,304205,424963
135673,304268,424677
135684,304200,424735
135741,304184,424886
135829,304400,424893
135875,304532,425054
135915,304695,425015
136010,304815,425159
136051,304913,425083
136096,304968,425292
136131,305087,425431
136157,305259,425268
136186,305247,425440
136216,305322,425385
136256,305304,425612
136273,305497,425528
136327,305484,425550
136344,305641,425642
136416,305686,425549
136395,305693,425720
136452,305717,425890
136280,305311,425275
135847,304039,424320
135129,302822,423473
134766,302395,423173
134742,302425,423279
134971,302788,423584
135229,303026,423737
135380,303245,423933
135428,303318,423877
135474,303388,424051
135635,303609,424075
135821,303956,424521
135918,304217,424545
135953,304227,424583
135904,304125,424590
135862,304013,424402
135863,303943,424417
135926,304033,424459
135997,304254,424576
136079,304399,424733
136172,304547,424730
136210,304572,424964
136201,304830,424868
136275,304789,424892
136340,305008,425207
136384,305013,425077
136427,305138,425263
136464,305238,425293
136505,305310,425278
136538,305233,425327
136563,305485,425277
136586,305544,425513
136639,305670,425473
136624,305535,425345
136473,304712,424755
135851,303586,423901
135205,302493,423232
134943,302199,422994
135053,302355,423115
